"franchise_id","franchise_name","user_name","user_id"
11,"cgocray","cgocray","829228800540807168"
12,"House of Champions","HouseKinnaman","576248885461848064"
13,"RiverboatDave","RiverboatDave","462028117192470528"
14,"Titan68","Titan68","606682442631311360"
15,"mbgutt","mbgutt","599425595524304896"
16,"aldo216","aldo216","650148989739569152"
1,"zauper","zauper","85488797743464448"
2,"matthewmcconville354","matthewmcconville354","438541152199634944"
3,"RiverboatDave","RiverboatDave","462028117192470528"
4,"Lannister Lions 🦁 ","TyrionLannisterIsGod","596857056544210944"
5,"davethebull","davethebull","309396564642627584"
6,"Moore Mooney No problem  ","AlexS19","659912564683124736"
7,"CPA31","CPA2021","716890313033064448"
8,"TNT2172","TNT2172","727260706579247104"
9,"Lamar You Not Entertained","aloocurry","620030048228950016"
10,"jujusauce","jujusauce","471866918354022400"
11,"aldo216","aldo216","650148989739569152"
12,"Skol78","Skol78","402200383587385344"
1,"InLuvWitDaCocoa","InLuvWitDaCocoa","438829073758679040"
2,"bluther18","bluther18","623293846570250240"
3,"smallspencer","smallspencer","729054951875153920"
4,"Dewolfeizonfire","Dewolfeizonfire","578045616731500544"
5,"aldo216","aldo216","650148989739569152"
6,"Colville","Colville","368858564716052480"
7,"Fantasymartyr","Fantasymartyr","201499671250599936"
8,"Killaeagle33","Killaeagle33","414929469317332992"
9,"seanengland11","seanengland11","339240706935627776"
10,"Play in","dawgs2121","467005434289451008"
1,"izzydiaz413","izzydiaz413","646556530786918400"
2,"Suttonmyface313","Suttonmyface313","434595332748210176"
3,"Festa912","Festa912","701964746399768576"
4,"moemoe7144","moemoe7144","606628071889514496"
5,"wildestmack","wildestmack","609061950994833408"
6,"RB's: We Have The Meats!","Titchbits1990","727363228564271104"
7,"ASS ETN SZN","gazkh","736031718036848640"
8,"ismellcap1","ismellcap1","475061788832952320"
9,"Kupp yo bitch","nickde32","710529717345779712"
10,"$10 ReDraft","Druski360Trades","739554117080461312"
1,"Gulan17","Gulan17","311299681659396096"
2,"FFGriffin","FFGriffin","770443553905160192"
3,"Hocks n Jocks ","demo7777","684578946603380736"
4,"8 Niggas 1 Kupp","sean4hero","646952500808826880"
5,"rushiamin","rushiamin","720364500607401984"
6,"moemoe7144","moemoe7144","606628071889514496"
7,"Dooley87","Dooley87","464649524623699968"
8,"jerejere2710","jerejere2710","734856576715886592"
9,"jimmyjuff69","jimmyjuff69","603132692388708352"
10,"ImpatientBuddha","ImpatientBuddha","732641892965183488"
1,"izzydiaz413","izzydiaz413","646556530786918400"
2,"Tee Time","JaredGlo","464842790245756928"
3,"Bankss13","Bankss13","857100123103158272"
4,"ismellcap1","ismellcap1","475061788832952320"
5,"KoreyDro","KoreyDro","732972657414361088"
6,"McJiggle","McJiggle","443230073571504128"
7,"moemoe7144","moemoe7144","606628071889514496"
8,"Zay2403","Zay2403","438506447861444608"
9,"MahomeBoy93","MahomeBoy93","726555466552926208"
10,"EndZoneKilla","EndZoneKilla","556073486570704896"
1,"Najees In Paris","drewkeely","677619046576893952"
2,"jedi_master","jedi_master","741527150531891200"
3,"QAxe52","QAxe52","652960754496024576"
4,"EOD18222","EOD18222","486410042610806784"
5,"stew35","stew35","431652384737873920"
6,"Gulan17","Gulan17","311299681659396096"
7,"moemoe7144","moemoe7144","606628071889514496"
8,"l0rddavis","l0rddavis","201191922704846848"
9,"Londinium","Londinium","717005719886458880"
10,"stevenbeale","stevenbeale","472633291757842432"
11,"FatDubzV2","FatDubzV2","736764532709519360"
12,"RawDoggers","RawDoggers","76616359366508544"
1,"KLo24","KLo24","456634385454592000"
2,"JayceeBucs","JayceeBucs","568861782891962368"
3,"drewmoore42","drewmoore42","652598928063143936"
4,"Seanreeves","Seanreeves","466770085709606912"
5,"jjasonk","jjasonk","731291427060948992"
6,"thebeastm0de","thebeastm0de","551844302305329152"
7,"mambamentality89","mambamentality89","652584901807267840"
